Area,Inner_Outer_London,GLA_Population_Estimate_2013,GLA Household Estimate 2013,Inland Area (Hectares),Population density (per hectare) 2013,Average Age (2013),"Proportion of population aged 0-15, 2013","Proportion of population of working-age, 2013","Proportion of population aged 65 and over, 2013",Percentages of resident population born abroad (2013),Percentage of population from BAME groups (2013),Percentage people aged 3+ whose main language is not English (2011 census),"Overseas nationals entering the UK (NINo), (2013/14)","New migrant (NINo) rates, (2013/14)",Employment rate (%) (2013/14),Male employment rate (2013/14),Female employment rate (2013/14),Unemployment rate (2013/14),Youth Unemployment rate (2013/14),Proportion of 16-18 year olds who are NEET (%) (2013),Proportion of the working-age population who claim benefits (%) (Feb-2014),Percentage working-age with a disability (2012),Proportion of working age people with no qualifications (%) 2013,Proportion of working age people in London with degree or equivalent and above (%) 2013,"Gross Annual Pay, (2013)",Gross Annual Pay - Male (2013),Gross Annual Pay - Female (2013),Percentage adults that volunteered in past 12 months (2010/11 to 2012/13),Number of jobs by workplace (2012),Percentage of employment that is in public sector (2012),"Jobs Density, 2012","Number of active businesses, 2012",Two-year business survival rates 2012,Crime rates per thousand population 2013/14,Fires per thousand population (2013),Ambulance incidents per hundred population (2013),"Median House Price, 2013",Average Band D Council Tax charge (2014/15),New Homes_net_2012_13,"Homes Owned outright, (2013)","Being bought with mortgage or loan, (2013) ","Rented from Local Authority or Housing Association, (2013) ","Rented from Private landlord, (2013) ",Percentage of area that is Greenspace_2005,Total carbon emissions (2012),Household Waste Recycling Rate_2012_13,Number of cars_2011,Number of cars per household_2011,"Percentageof adults who cycle at least once per month,_2011_12","Average Public Transport Accessibility score,_2012",Indices of Multiple Deprivation 2010 Rank of Average Score,Income Support claimant rate_Feb14,Percentage children living in out-of-work families_2013,Achievement of 5 or more A*- C grades at GCSE or equivalent including English and Maths_2012_13,Rates of Children Looked After (2013),Percentage of pupils whose first language is not English_2014,Male life expectancy_2010_12,"Female life expectancy, (2010-12)",Teenage conception rate (2012),Life satisfaction score 2012-13 (out of 10),Worthwhileness score 2012-13 (out of 10),Happiness score 2012-13 (out of 10),Anxiety score 2012-13 (out of 10),Political control in council
Hackney,Inner London,256600,106655.6875,1904.9,134.71735,32.62406,20.51325,72.37665,7.1101,38.76652,45.74298,24.08772,7615,41.05586,63.7,70.6,57.2,11.1,21.9,3.22595,13.4,22.4,10.7,43.1,32190,32645,30672,29.63918,110900,18.12434,0.62,12980,70.38217,100.87847,2.66173,12.28449,375000,1297.45,800,13.4,22.2,45.1,18,23.2,936.08489,24.32263,41800,0.41105,22,4.8261,2,3.08391,30.84816,61.2,56,50.94159,77.7,82.8,28.8,7.07,7.42,7.02,3.61,Lab
Hammersmith and Fulham,Inner London,181000,79688.69179,1639.7,110.38436,34.93341,16.76464,73.7681,9.46725,41.42012,33.45488,22.68738,8277,63.27595,73,80.6,65.1,6.4,11,3.16912,10.4,15.3,9.2,56.2,38068,42085,35899,30.48189,145200,20.26094,1.1,12270,69.20732,105.89585,2.29834,13.08453,570000,1034.16,420,18.7,21.3,26.4,31.8,19.1,975.90126,22.66267,43843,0.54403,20,4.65415,55,2.18641,22.17614,66.5,71,45.33041,79.1,83.3,25.6,7.23,7.6,6.94,3.15,Lab
Haringey,Inner London,263100,105459.2842,2959.8,88.88342,34.38491,19.87731,71.19947,8.92323,36.32287,40.00251,29.7149,12691,67.99211,68.8,75.5,61.7,8.6,31.9,3.44955,12.5,16.7,8.6,47.9,29183,29367,28883,29.84895,77300,19.62323,0.44,10330,70.9434,83.59594,2.14367,13.25238,339875,1483.32,580,16.2,30.2,25.6,25.2,25.5,936.01833,31.65535,61515,0.60335,16,4.13421,13,2.7484,26.08259,63.5,94,52.28272,79.4,83.8,33.1,7.2,7.44,7.13,3.07,Lab
Harrow,Outer London,245900,86968.59985,5046.3,48.72254,37.69522,20.11024,65.41338,14.47637,50.21277,60.20979,28.4863,5713,36.08127,69.2,78.7,59.5,8.8,17.9,1.84835,7,16.8,4.3,38.5,32258,35430,28284,38.87761,78800,16.59325,0.5,12375,71.76871,50.19065,1.56974,10.30663,325000,1509.28,720,34.4,27.7,11.9,23.6,34.6,869.44791,44.74857,100326,1.19056,8,2.81937,194,1.47786,13.26508,65.4,30,60.2146,82,85.6,14.2,7.34,7.53,7.35,3.17,Lab
Havering,Outer London,242600,99202.4378,11235,21.58991,40.29614,18.78156,62.78801,18.43043,11.25,13.60023,4.56601,1338,8.83582,74.1,81.2,67.4,7.4,21.5,4.34402,8.9,16.8,8.2,18.5,31473,33693,29384,16.93826,83800,22.64398,0.56,8390,72.47191,62.25215,2.49382,12.84336,231000,1494.18,240,35.2,35.4,18.8,10.2,59.3,1065.483,34.59795,117634,1.21024,15,2.50907,177,2.23867,16.4548,63.7,36,11.08833,79.3,83.8,26.4,7.4,7.65,7.24,3.17,No Overall Control
Hillingdon,Outer London,287500,104650.8056,11570.1,24.85192,36.17163,20.91175,66.12142,12.96683,30.40293,42.39584,18.76224,4598,24.37977,71,80.3,62,8,22.1,3.49154,8.2,16.6,6.8,34.3,31176,35291,27499,23.75573,211400,10.62951,1.15,11020,73.94958,67.09413,3.05391,15.57391,265000,1411.93,1470,27.5,33.7,18.1,18,49.2,1834.15075,43.04106,122486,1.22224,10,2.43702,138,2.14741,18.00307,61.6,56,41.03256,79.9,83.5,27.7,7.35,7.63,7.34,3.34,Cons
Hounslow,Outer London,264300,98840.74435,5597.8,47.20946,35.26376,20.6169,68.54207,10.84103,47.13115,50.15836,28.73017,7995,44.62317,75.8,83.7,67.2,7.6,19,4.06384,8.8,17.2,9.7,39.8,30212,32450,29238,26.92527,158100,12.89174,0.9,11505,75.97173,74.65883,2.64472,12.42527,280000,1378.77,230,20.8,26.1,19.7,32.9,39.6,1426.16442,35.04637,94042,0.99094,19,3.05887,118,2.03162,20.95775,66.7,52,57.86232,79.5,83.3,30.4,7.3,7.6,7.29,3.51,Lab
Islington,Inner London,215900,97616.28224,1485.7,145.32491,34.41947,15.86356,75.45738,8.67907,32,32.68999,19.85748,7896,48.78079,68.6,72,65.1,8.2,22.8,4.94328,13,17.7,12,54.1,35447,38629,31772,31.12864,204500,16.07884,1.3,15310,71.96532,113.74944,2.59379,14.75498,462725.5,1260.87,920,15.3,19.6,39.1,23.3,12.4,1149.13491,31.42785,38629,0.4129,24,5.57876,14,3.1322,31.45745,63.5,84,45.56765,77.8,83.2,30.1,7.08,7.22,6.85,3.74,Lab
Kensington and Chelsea,Inner London,155700,77210.89779,1212.4,128.4274,38.30855,15.90852,70.87824,13.21325,51.80723,30.65842,27.95543,6092,55.63064,63.7,71.8,55.5,9,33.9,5.00083,8.7,13.3,7.5,56.5,45625,35291,38079,31.07867,142200,15.96169,1.3,12570,69.44444,115.25509,2.10662,13.15607,980000,1081.58,60,17.8,11.8,31,33.6,15.1,1395.25946,26.44248,44536,0.56708,17,5.80871,103,1.69851,14.78249,80.2,36,52.74249,82.1,85.8,17.7,7.68,7.92,7.51,3.06,Cons
Kingston upon Thames,Outer London,166400,65782.63074,3726.1,44.66048,36.88596,18.99495,67.98044,13.02461,28.73563,26.95211,16.4242,2395,21.2238,76.9,82.1,71.5,6,12.4,4.09542,5.6,12.2,3.1,46.7,36401,38509,31114,42.7023,80400,19.34605,0.73,8060,72.31638,55.44597,1.90505,11.70192,335000,1678.65,200,29,38,12.9,15.6,36.4,766.80706,46.31285,70421,1.10657,17,2.83019,255,1.11658,10.38947,71.6,37,31.22419,81.4,84.8,20,7.29,7.45,7.18,3.23,Cons
